x;Localisation
ALSACE;NORD-EST
AQUITAINE;SUD-OUEST
AUVERGNE;SUD-OUEST
BASSE-NORMANDIE;NORD-OUEST
BOURGOGNE;NORD-EST
BRETAGNE;NORD-OUEST
CENTRE;NORD-OUEST
CHAMPAGNE-ARDENNE;NORD-EST
CORSE;SUD-EST
FRANCHE-COMTE;NORD-EST
HAUTE-NORMANDIE;NORD-OUEST
ILE-DE-FRANCE;PARIS
LANGUEDOC-ROUSSILLON;SUD-EST
LIMOUSIN;SUD-OUEST
LORRAINE;NORD-EST
MIDI-PYRENEES;SUD-OUEST
NORD-PAS-DE-CALAIS;NORD-EST
PAYS-DE-LA-LOIRE;NORD-OUEST
PICARDIE;NORD-EST
POITOU-CHARENTES;NORD-OUEST
PROVENCE-ALPES-COTE-D'AZUR;SUD-EST
RHONE-ALPES;SUD-EST
